Environment,DB Name,System Date,Status,Start Time,End Time,Duration,Last Working Date,Next Working Day,,,,,,,,
Production,t24prddb,12-Jun-23,Completed,12/6/2023 0:00,12/6/2023 1:28,1:28:07,11-Jun-23,13-Jun-23,,,,,,,,
,,,,,,,,,,,,,,,,
Stage,Start_Time,End_Time,Elasped,,,,,,,,,,,,,
Application,0:00:32,0:03:41,0:03:09,,0:00:32,0:03:41,0:03:41,0:57:57,0:57:57,1:15:06,1:15:06,1:26:32,1:26:32,1:28:39,,
System_Wide,0:03:41,0:57:57,0:54:16,,,,,,,,,,,,,
Reporting,0:57:57,1:15:06,0:17:09,,,,0:03:09,,0:54:16,,0:17:09,,0:11:26,,0:02:07,
Start_Of_Day,1:15:06,1:26:32,0:11:26,,,,,,,,,,,,,
Online,1:26:32,1:28:39,0:02:07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Pre_COB_Services,,,,,,,,,,,,,,,,
Service_Name,Date,Start_Time,Stop_Time,Elapsed,,,,,,,,,,,,
SHQ/ARB.CTF.SEND.INST,11-Jun-23,11/6/2023 13:49,11/6/2023 13:52,0:02:15,,,,,,,,,,,,
SHQ/ARB.SEND.EMP.REBATEFEE,11-Jun-23,11/6/2023 13:50,11/6/2023 13:50,0:00:39,,,,,,,,,,,,
SHQ/ARB.COLL.WOF.FILE,11-Jun-23,11/6/2023 13:50,11/6/2023 13:51,0:01:14,,,,,,,,,,,,
SHQ/ARB.CTF.SEND.REBATEFEE,11-Jun-23,11/6/2023 13:50,11/6/2023 13:50,0:00:22,,,,,,,,,,,,
SHQ/ARB.COLL.DELIQ.FILE,11-Jun-23,11/6/2023 13:53,11/6/2023 14:03,0:10:17,,,,,,,,,,,,
SHQ/ARB.MSB.RBS.SEND.INST,11-Jun-23,11/6/2023 22:09,11/6/2023 22:10,0:00:36,,,,,,,,,,,,
SHQ/ARB.DELIQ.RESP,11-Jun-23,11/6/2023 22:12,11/6/2023 22:19,0:07:09,,,,,,,,,,,,
